MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
10TH WARD - PITTSBURGH,2016,7,130.78805368320397,126.5088922271758,6
10TH WARD - PITTSBURGH,2016,8,82.3117979461782,89.8069007289078,6
10TH WARD - PITTSBURGH,2016,9,110.24715633272247,107.58476076172657,6
10TH WARD - PITTSBURGH,2016,10,105.49451603085065,85.28428093645485,3
10TH WARD - PITTSBURGH,2016,11,139.84676525683767,141.50943396226415,5
10TH WARD - PITTSBURGH,2016,12,,,0
10TH WARD - PITTSBURGH,2017,1,83.14082225257378,95.75233981281498,5
10TH WARD - PITTSBURGH,2017,2,100.62158713247764,75.9768451519537,7
10TH WARD - PITTSBURGH,2017,3,75.83132124017467,60.78090958605664,4
10TH WARD - PITTSBURGH,2017,4,85.09505529003977,85.09505529003977,2
10TH WARD - PITTSBURGH,2017,5,77.23849573042423,78.83597883597884,5
10TH WARD - PITTSBURGH,2017,6,67.26727616637024,24.752475247524753,3
10TH WARD - PITTSBURGH,2017,7,107.21288515406162,107.21288515406162,2
10TH WARD - PITTSBURGH,2017,8,88.25623848669532,87.88449466415568,5
10TH WARD - PITTSBURGH,2017,9,28.3446603704008,28.3446603704008,2
10TH WARD - PITTSBURGH,2017,10,100.16433612992104,94.44444444444444,3
10TH WARD - PITTSBURGH,2017,11,128.09320343718585,156.25,3
10TH WARD - PITTSBURGH,2017,12,113.84928798265344,82.66129032258064,3
10TH WARD - PITTSBURGH,2018,1,117.6470588235294,117.6470588235294,1
10TH WARD - PITTSBURGH,2018,2,49.96532392611109,46.79284963196635,3
10TH WARD - PITTSBURGH,2018,3,135.9579708975326,130.69908814589667,5
10TH WARD - PITTSBURGH,2018,4,87.31179189028026,87.31179189028026,2
10TH WARD - PITTSBURGH,2018,5,110.8780497977519,96.47979040782639,6
10TH WARD - PITTSBURGH,2018,6,204.20816328325117,212.49076127124908,5
10TH WARD - PITTSBURGH,2018,7,133.9475767135001,142.21073044602457,5
10TH WARD - PITTSBURGH,2018,8,134.41696157393008,156.6209970089731,16
10TH WARD - PITTSBURGH,2018,9,131.38992197380622,154.38871473354232,9
10TH WARD - PITTSBURGH,2018,10,129.78483760759508,142.53242037555765,4
10TH WARD - PITTSBURGH,2018,11,167.77777777777777,167.77777777777777,1
10TH WARD - PITTSBURGH,2018,12,176.10246165098505,135.5779569892473,4
10TH WARD - PITTSBURGH,2019,1,106.981981981982,106.981981981982,1
10TH WARD - PITTSBURGH,2019,2,166.9557974484729,185.5072463768116,3
10TH WARD - PITTSBURGH,2019,3,157.15547776805434,157.15547776805434,2
10TH WARD - PITTSBURGH,2019,4,137.28519637128758,135.3813559322034,8
10TH WARD - PITTSBURGH,2019,5,129.96941896024464,129.96941896024464,1
10TH WARD - PITTSBURGH,2019,6,,,0
10TH WARD - PITTSBURGH,2019,7,132.00183824728506,121.13858363858364,4
10TH WARD - PITTSBURGH,2019,8,41.243654822335024,41.243654822335024,1
10TH WARD - PITTSBURGH,2019,9,130.79835878180057,126.20682547947582,4
10TH WARD - PITTSBURGH,2019,10,129.76979953457112,129.76979953457112,2
10TH WARD - PITTSBURGH,2019,11,54.045118959191484,54.045118959191484,2
10TH WARD - PITTSBURGH,2019,12,142.242799300667,124.9522107712766,10
10TH WARD - PITTSBURGH,2020,1,132.62867647058823,132.62867647058823,1
10TH WARD - PITTSBURGH,2020,2,244.68879219926484,199.50433705080545,3
10TH WARD - PITTSBURGH,2020,3,156.4402354584949,160.54421768707482,5
10TH WARD - PITTSBURGH,2020,4,183.1908567564401,196.25401949857155,6
