MUNIDESC,SALE_YEAR,annual_sale_count
7TH WARD - PITTSBURGH,2020,55
7TH WARD - PITTSBURGH,2021,92
7TH WARD - PITTSBURGH,2022,129
7TH WARD - PITTSBURGH,2023,110
7TH WARD - PITTSBURGH,2024,121
7TH WARD - PITTSBURGH,2025,38
8TH WARD  - MCKEESPORT,2012,32
8TH WARD  - MCKEESPORT,2013,14
8TH WARD  - MCKEESPORT,2014,1
8TH WARD  - MCKEESPORT,2015,8
8TH WARD  - MCKEESPORT,2016,7
8TH WARD  - MCKEESPORT,2017,12
8TH WARD  - MCKEESPORT,2018,14
8TH WARD  - MCKEESPORT,2019,12
8TH WARD  - MCKEESPORT,2020,15
8TH WARD  - MCKEESPORT,2021,14
8TH WARD  - MCKEESPORT,2022,23
8TH WARD  - MCKEESPORT,2023,24
8TH WARD  - MCKEESPORT,2024,13
8TH WARD  - MCKEESPORT,2025,14
8TH WARD - PITTSBURGH,2012,54
8TH WARD - PITTSBURGH,2013,32
8TH WARD - PITTSBURGH,2014,13
8TH WARD - PITTSBURGH,2015,24
8TH WARD - PITTSBURGH,2016,30
8TH WARD - PITTSBURGH,2017,16
8TH WARD - PITTSBURGH,2018,30
8TH WARD - PITTSBURGH,2019,14
8TH WARD - PITTSBURGH,2020,16
8TH WARD - PITTSBURGH,2021,22
8TH WARD - PITTSBURGH,2022,36
8TH WARD - PITTSBURGH,2023,37
8TH WARD - PITTSBURGH,2024,36
8TH WARD - PITTSBURGH,2025,15
9TH WARD  -  MCKEESPORT,2012,23
9TH WARD  -  MCKEESPORT,2013,8
9TH WARD  -  MCKEESPORT,2014,2
9TH WARD  -  MCKEESPORT,2015,4
9TH WARD  -  MCKEESPORT,2016,5
9TH WARD  -  MCKEESPORT,2017,5
9TH WARD  -  MCKEESPORT,2018,10
9TH WARD  -  MCKEESPORT,2019,7
9TH WARD  -  MCKEESPORT,2020,12
9TH WARD  -  MCKEESPORT,2021,18
9TH WARD  -  MCKEESPORT,2022,22
9TH WARD  -  MCKEESPORT,2023,18
9TH WARD  -  MCKEESPORT,2024,24
9TH WARD  -  MCKEESPORT,2025,8
9TH WARD - PITTSBURGH,2012,79
9TH WARD - PITTSBURGH,2013,37
9TH WARD - PITTSBURGH,2014,10
9TH WARD - PITTSBURGH,2015,15
9TH WARD - PITTSBURGH,2016,23
9TH WARD - PITTSBURGH,2017,18
9TH WARD - PITTSBURGH,2018,35
9TH WARD - PITTSBURGH,2019,32
9TH WARD - PITTSBURGH,2020,53
9TH WARD - PITTSBURGH,2021,34
9TH WARD - PITTSBURGH,2022,65
9TH WARD - PITTSBURGH,2023,64
9TH WARD - PITTSBURGH,2024,60
9TH WARD - PITTSBURGH,2025,26
ALEPPO,2012,19
ALEPPO,2013,26
ALEPPO,2014,5
ALEPPO,2015,4
ALEPPO,2016,9
ALEPPO,2017,16
ALEPPO,2018,12
ALEPPO,2019,7
ALEPPO,2020,20
ALEPPO,2021,13
ALEPPO,2022,16
ALEPPO,2023,10
ALEPPO,2024,13
ALEPPO,2025,7
ASPINWALL,2012,23
ASPINWALL,2013,26
ASPINWALL,2014,9
ASPINWALL,2015,14
ASPINWALL,2016,21
ASPINWALL,2017,20
ASPINWALL,2018,26
ASPINWALL,2019,10
ASPINWALL,2020,20
ASPINWALL,2021,14
ASPINWALL,2022,29
ASPINWALL,2023,20
ASPINWALL,2024,19
ASPINWALL,2025,9
AVALON,2012,34
AVALON,2013,24
AVALON,2014,6
AVALON,2015,11
AVALON,2016,32
AVALON,2017,29
AVALON,2018,41
AVALON,2019,24
AVALON,2020,36
AVALON,2021,27
AVALON,2022,49
AVALON,2023,44
AVALON,2024,41
AVALON,2025,17
BALDWIN BORO,2012,164
BALDWIN BORO,2013,153
BALDWIN BORO,2014,41
BALDWIN BORO,2015,61
BALDWIN BORO,2016,103
BALDWIN BORO,2017,90
BALDWIN BORO,2018,82
BALDWIN BORO,2019,75
BALDWIN BORO,2020,149
BALDWIN BORO,2021,152
BALDWIN BORO,2022,179
BALDWIN BORO,2023,168
BALDWIN BORO,2024,191
BALDWIN BORO,2025,70
BALDWIN TWP,2012,16
BALDWIN TWP,2013,13
BALDWIN TWP,2014,11
BALDWIN TWP,2015,12
BALDWIN TWP,2016,22
BALDWIN TWP,2017,10
BALDWIN TWP,2018,22
BALDWIN TWP,2019,11
BALDWIN TWP,2020,13
BALDWIN TWP,2021,18
BALDWIN TWP,2022,21
BALDWIN TWP,2023,18
BALDWIN TWP,2024,17
