MUNIDESC,SF_BUCKET,MEAN_PPSF,MEDIAN_PPSF,STD_PPSF,SAMPLE_SIZE,TIME_BAND
ASPINWALL,3001+,49.38648973882061,49.38648973882061,13.744658981738029,2,2012
AVALON,0–1000,74.08707177780516,74.37142857142857,8.148842229206751,5,2012
AVALON,1001–1500,73.35374236416125,82.88895358974612,26.003105213571782,12,2012
AVALON,1501–2000,59.985769266140814,65.67161538500422,30.535647259496844,6,2012
AVALON,2001–2500,33.2005471279364,29.799705105184017,26.108350832514272,8,2012
AVALON,2501–3000,26.774325456344158,28.1254381493221,9.840465729690619,4,2012
BALDWIN BORO,0–1000,98.56919604603415,103.33333333333331,36.445083820823164,55,2012
BALDWIN BORO,1001–1500,90.44804299253705,89.18911862990811,24.63900398141684,76,2012
BALDWIN BORO,1501–2000,74.84431065828842,84.96543778801843,24.894507832616,31,2012
BALDWIN BORO,2001–2500,66.76909758297329,75.92911358091624,25.18621585204551,10,2012
BALDWIN BORO,2501–3000,94.45729281151003,94.45729281151003,20.80734233754192,2,2012
BALDWIN TWP,0–1000,91.81995540691192,86.78232998885173,18.2476394334744,6,2012
BALDWIN TWP,1001–1500,89.17039518762682,94.93770074384278,24.980644948229465,8,2012
BALDWIN TWP,1501–2000,64.41937062473043,64.0,11.969592539838066,3,2012
BALDWIN TWP,2001–2500,64.28571428571429,64.28571428571429,,1,2012
BELL ACRES,1001–1500,111.96655525105571,111.11111111111111,22.730392504904543,3,2012
BELL ACRES,1501–2000,78.05502239283429,78.05502239283429,,1,2012
BELL ACRES,2501–3000,113.06768690137635,117.6686706746827,45.101086679100725,5,2012
BELL ACRES,3001+,129.69095363947451,129.45227411303517,20.061537164036714,6,2012
BELLEVUE,0–1000,55.810941660614866,52.160493827160494,20.165726317684538,6,2012
BELLEVUE,1001–1500,69.6146758562856,68.27111984282908,35.647295043432955,17,2012
BELLEVUE,1501–2000,53.200454676742254,54.573170731707314,21.264759356560155,17,2012
BELLEVUE,2001–2500,50.000930194854604,55.818068599890495,17.60123571986471,10,2012
BELLEVUE,2501–3000,27.62781840853041,29.50902435585774,17.376359401969353,10,2012
BELLEVUE,3001+,36.36131666241389,36.36131666241389,,1,2012
BEN AVON,1001–1500,75.56626220820831,79.7827903091061,41.459317090517004,7,2012
BEN AVON,1501–2000,82.68446688268499,101.875,33.77620959968964,5,2012
